Date,Time,Temperature,Dewpoint,Visibility
2017-01-24,11:12:32,-1.2,-8.7,22.0
2017-01-24,11:12:33,-1.3,-8.7,22.1
2017-01-24,11:12:34,-1.3,-8.7,22.1
2017-01-24,11:12:35,-1.2,-8.7,22.1
2017-01-24,11:12:36,-1.2,-8.7,22.0
2017-01-24,11:12:37,-1.3,-8.7,22.1
2017-01-24,11:12:38,-1.3,-8.7,22.1
2017-01-24,11:12:39,-1.3,-9.3,22.2
2017-01-24,11:12:40,-1.2,-8.7,22.1
2017-01-24,11:12:41,-1.3,-8.7,22.2
2017-01-24,11:12:42,-1.3,-8.7,22.3
2017-01-24,11:12:43,-1.3,-8.7,22.2
2017-01-24,11:12:44,-1.3,-8.7,22.1
2017-01-24,11:12:45,-0.4,-9.3,22.1
2017-01-24,11:12:46,-1.2,-8.7,22.1
2017-01-24,11:12:47,-1.2,-8.7,22.2
2017-01-24,11:12:48,-1.2,-9.3,22.3
2017-01-24,11:12:49,-1.2,-9.3,22.2
2017-01-24,11:12:50,-1.3,-9.3,22.3
2017-01-24,11:12:51,-1.3,-8.7,22.2
2017-01-24,11:12:52,-1.2,-9.3,22.3
2017-01-24,11:12:53,-1.2,-9.3,22.2
2017-01-24,11:12:54,-1.2,-8.7,22.3
2017-01-24,11:12:55,-1.2,-8.7,22.2
2017-01-24,11:12:56,-1.2,-9.3,22.3
2017-01-24,11:12:57,-1.3,-8.7,22.3
2017-01-24,11:12:58,-1.3,-9.3,22.4
2017-01-24,11:12:59,-1.3,-8.7,22.3
2017-01-24,11:13:00,-1.3,-8.7,22.4
2017-01-24,11:13:01,-1.3,-8.7,22.3
2017-01-24,11:13:02,-1.2,-8.7,22.4
2017-01-24,11:13:03,-1.3,-9.3,22.3
2017-01-24,11:13:04,-1.2,-8.7,22.4
2017-01-24,11:13:05,-1.2,-9.3,22.4
2017-01-24,11:13:06,-1.3,-8.7,22.5
2017-01-24,11:13:07,-1.3,-8.7,22.6
2017-01-24,11:13:08,-1.3,-9.3,22.6
2017-01-24,11:13:09,-1.2,-8.7,22.7
2017-01-24,11:13:10,-1.3,-8.7,22.8
2017-01-24,11:13:11,-1.2,-9.3,22.8
2017-01-24,11:13:12,-1.2,-8.7,22.9
2017-01-24,11:13:13,-1.3,-9.3,22.8
2017-01-24,11:13:14,-1.3,-8.7,22.8
2017-01-24,11:13:15,-1.3,-9.3,22.8
2017-01-24,11:13:16,-1.2,-9.3,22.8
2017-01-24,11:13:17,-1.3,-9.3,22.7
2017-01-24,11:13:18,-0.5,-8.7,22.8
2017-01-24,11:13:19,-1.3,-8.7,22.8
2017-01-24,11:13:20,-1.3,-8.7,22.8
2017-01-24,11:13:21,-1.2,-8.7,22.7
2017-01-24,11:13:22,-1.3,-8.7,22.8
2017-01-24,11:13:23,-1.3,-9.3,22.8
2017-01-24,11:13:24,-1.2,-9.3,22.9
2017-01-24,11:13:25,-1.2,-9.3,22.8
2017-01-24,11:13:26,-1.2,-8.7,22.8
2017-01-24,11:13:27,-1.3,-9.3,22.7
2017-01-24,11:13:28,-1.2,-8.7,22.6
2017-01-24,11:13:29,-1.3,-8.7,22.6
2017-01-24,11:13:30,-1.2,-8.7,22.5
2017-01-24,11:13:31,-1.3,-9.3,22.6
2017-01-24,11:13:32,-1.2,-9.3,22.5
2017-01-24,11:13:33,-1.3,-8.7,22.4
2017-01-24,11:13:34,-1.2,-8.7,22.5
2017-01-24,11:13:35,-1.2,-9.3,22.6
2017-01-24,11:13:36,-1.2,-8.7,22.6
2017-01-24,11:13:37,-1.3,-8.7,22.7
2017-01-24,11:13:38,-1.2,-9.3,22.8
2017-01-24,11:13:39,-1.2,-8.7,22.8
2017-01-24,11:13:40,-1.3,-8.7,22.9
2017-01-24,11:13:41,-1.3,-9.3,23.0
2017-01-24,11:13:42,-1.3,-9.3,23.0
2017-01-24,11:13:43,-1.3,-8.7,23.0
2017-01-24,11:13:44,-1.2,-9.3,23.0
2017-01-24,11:13:45,-1.2,-8.7,23.1
2017-01-24,11:13:46,-1.3,-8.7,23.0
2017-01-24,11:13:47,-1.3,-9.3,23.0
2017-01-24,11:13:48,-1.3,-9.3,22.9
2017-01-24,11:13:49,-1.3,-8.7,23.0
2017-01-24,11:13:50,-1.2,-9.3,23.0
2017-01-24,11:13:51,-1.3,-9.3,23.0
2017-01-24,11:13:52,-1.2,-8.7,23.0
2017-01-24,11:13:53,-1.3,-8.7,23.0
2017-01-24,11:13:54,-1.2,-8.7,22.9
2017-01-24,11:13:55,-1.2,-8.7,23.0
2017-01-24,11:13:56,-1.2,-8.7,22.9
2017-01-24,11:13:57,-1.2,-8.7,23.0
2017-01-24,11:13:58,-1.2,-8.7,22.9
2017-01-24,11:13:59,-1.2,-8.7,22.8
2017-01-24,11:14:00,-1.3,-9.3,22.8
2017-01-24,11:14:01,-1.2,-9.3,22.7
2017-01-24,11:14:02,-1.2,-8.7,22.6
2017-01-24,11:14:03,-1.3,-9.3,22.6
2017-01-24,11:14:04,-1.2,-9.3,22.6
2017-01-24,11:14:05,-1.3,-9.3,22.7
2017-01-24,11:14:06,-1.2,-9.3,22.8
2017-01-24,11:14:07,-1.3,-9.3,22.8
2017-01-24,11:14:08,-1.2,-8.7,22.9
2017-01-24,11:14:09,-1.3,-8.7,22.8
2017-01-24,11:14:10,-1.3,-8.7,22.9
2017-01-24,11:14:11,-1.2,-9.3,23.0
2017-01-24,11:14:12,-1.3,-9.3,22.9
2017-01-24,11:14:13,-1.3,-9.3,22.8
2017-01-24,11:14:14,-1.2,-8.7,22.9
2017-01-24,11:14:15,-1.3,-9.3,23.0
2017-01-24,11:14:16,-1.3,-8.7,22.9
2017-01-24,11:14:17,-1.2,-8.7,22.8
2017-01-24,11:14:18,-1.3,-8.7,22.9
2017-01-24,11:14:19,-1.3,-9.3,22.8
2017-01-24,11:14:20,-1.2,-9.3,22.8
2017-01-24,11:14:21,-1.2,-9.3,22.7
2017-01-24,11:14:22,-1.3,-9.3,22.6
2017-01-24,11:14:23,-1.2,-8.7,22.6
2017-01-24,11:14:24,-1.2,-8.7,22.6
2017-01-24,11:14:25,-1.2,-8.7,22.7
2017-01-24,11:14:26,-1.3,-9.3,22.8
2017-01-24,11:14:27,-1.3,-9.3,22.8
2017-01-24,11:14:28,-1.2,-9.3,22.8
2017-01-24,11:14:29,-1.2,-8.7,22.8
2017-01-24,11:14:30,-1.2,-9.3,22.9
2017-01-24,11:14:31,-1.3,-9.3,22.8
2017-01-24,11:14:32,-1.3,-9.3,22.8
2017-01-24,11:14:33,-1.2,-8.7,22.8
2017-01-24,11:14:34,-1.2,-8.7,22.9
2017-01-24,11:14:35,-1.2,-8.7,23.0
2017-01-24,11:14:36,-1.2,-9.3,23.0
2017-01-24,11:14:37,-1.2,-9.3,23.0
2017-01-24,11:14:38,-1.2,-8.7,22.9
2017-01-24,11:14:39,-1.3,-9.3,22.8
2017-01-24,11:14:40,-1.2,-9.3,22.8
2017-01-24,11:14:41,-1.3,-8.7,22.7
2017-01-24,11:14:42,-1.3,-9.3,22.6
2017-01-24,11:14:43,-1.2,-9.3,22.7
2017-01-24,11:14:44,-1.2,-9.3,22.6
2017-01-24,11:14:45,-1.3,-8.7,22.6
2017-01-24,11:14:46,-1.2,-9.3,22.6
2017-01-24,11:14:47,-1.2,-8.7,22.6
2017-01-24,11:14:48,-1.2,-8.7,22.6
2017-01-24,11:14:49,-1.2,-8.7,22.7
2017-01-24,11:14:50,-1.2,-8.7,22.6
2017-01-24,11:14:51,-1.3,-9.3,22.6
2017-01-24,11:14:52,-1.3,-9.3,22.6
2017-01-24,11:14:53,-1.2,-8.7,22.6
2017-01-24,11:14:54,-1.2,-9.3,22.5
2017-01-24,11:14:55,-1.2,-9.3,22.6
2017-01-24,11:14:56,-1.2,-8.7,22.5
2017-01-24,11:14:57,-1.3,-9.3,22.6
2017-01-24,11:14:58,-1.3,-8.7,22.5
