Date,Time,Temperature,Dewpoint,Visibility
2017-01-24,11:12:32,-4.2,-7.3,17.1
2017-01-24,11:12:33,-4.2,-6.7,17.2
2017-01-24,11:12:34,-4.0,-6.7,17.2
2017-01-24,11:12:35,-4.2,-7.3,17.2
2017-01-24,11:12:36,-4.0,-7.3,17.2
2017-01-24,11:12:37,-4.0,-7.3,17.3
2017-01-24,11:12:38,-4.0,-7.3,17.4
2017-01-24,11:12:39,-4.0,-6.7,17.3
2017-01-24,11:12:40,-4.2,-6.7,17.4
2017-01-24,11:12:41,-4.0,-6.7,17.4
2017-01-24,11:12:42,-4.2,-6.7,17.4
2017-01-24,11:12:43,-4.2,-7.3,17.3
2017-01-24,11:12:44,-4.2,-7.3,17.2
2017-01-24,11:12:45,-4.0,-6.7,17.2
2017-01-24,11:12:46,-4.0,-7.3,17.1
2017-01-24,11:12:47,-4.0,-6.7,17.2
2017-01-24,11:12:48,-4.2,-7.3,17.1
2017-01-24,11:12:49,-4.2,-6.7,17.1
2017-01-24,11:12:50,-4.2,-6.7,17.0
2017-01-24,11:12:51,-4.2,-7.3,17.0
2017-01-24,11:12:52,-4.2,-6.7,16.9
2017-01-24,11:12:53,-4.0,-6.7,17.0
2017-01-24,11:12:54,-4.0,-7.3,17.0
2017-01-24,11:12:55,-4.0,-7.3,17.0
2017-01-24,11:12:56,-4.0,-6.7,17.0
2017-01-24,11:12:57,-4.2,-7.3,17.1
2017-01-24,11:12:58,-4.2,-7.3,17.0
2017-01-24,11:12:59,-4.0,-7.3,17.1
2017-01-24,11:13:00,-4.2,-6.7,17.0
2017-01-24,11:13:01,-4.0,-7.3,17.0
2017-01-24,11:13:02,-4.0,-7.3,16.9
2017-01-24,11:13:03,-4.0,-7.3,17.0
2017-01-24,11:13:04,-4.0,-7.3,17.0
2017-01-24,11:13:05,-4.0,-6.7,17.1
2017-01-24,11:13:06,-4.2,-7.3,17.1
2017-01-24,11:13:07,-4.2,-7.3,17.1
2017-01-24,11:13:08,-4.2,-6.7,17.1
2017-01-24,11:13:09,-4.0,-6.7,17.1
2017-01-24,11:13:10,-4.2,-7.3,17.0
2017-01-24,11:13:11,-4.0,-7.3,17.1
2017-01-24,11:13:12,-4.0,-7.3,17.0
2017-01-24,11:13:13,-4.0,-6.7,17.1
2017-01-24,11:13:14,-4.0,-6.7,17.1
2017-01-24,11:13:15,-4.2,-7.3,17.1
2017-01-24,11:13:16,-4.0,-7.3,17.1
2017-01-24,11:13:17,-4.2,-6.7,17.1
2017-01-24,11:13:18,-4.0,-6.7,17.1
2017-01-24,11:13:19,-4.0,-6.7,17.2
2017-01-24,11:13:20,-4.2,-7.3,17.1
2017-01-24,11:13:21,-4.0,-7.3,17.1
2017-01-24,11:13:22,-4.0,-7.3,17.0
2017-01-24,11:13:23,-4.0,-6.7,17.0
2017-01-24,11:13:24,-4.0,-6.7,16.9
2017-01-24,11:13:25,-4.2,-6.7,16.9
2017-01-24,11:13:26,-4.2,-6.7,16.9
2017-01-24,11:13:27,-4.0,-6.7,17.0
2017-01-24,11:13:28,-4.0,-6.7,16.9
2017-01-24,11:13:29,-4.2,-6.7,16.9
2017-01-24,11:13:30,-4.2,-7.3,16.8
2017-01-24,11:13:31,-4.2,-6.7,16.8
2017-01-24,11:13:32,-4.2,-7.3,16.7
2017-01-24,11:13:33,-4.2,-7.3,16.8
2017-01-24,11:13:34,-4.2,-6.7,16.7
2017-01-24,11:13:35,-4.2,-6.7,16.8
2017-01-24,11:13:36,-4.0,-6.7,16.8
2017-01-24,11:13:37,-4.2,-7.3,16.9
2017-01-24,11:13:38,-4.2,-6.7,16.9
2017-01-24,11:13:39,-4.2,-7.3,16.9
2017-01-24,11:13:40,-4.2,-6.7,16.8
2017-01-24,11:13:41,-4.0,-7.3,16.8
2017-01-24,11:13:42,-4.0,-6.7,16.8
2017-01-24,11:13:43,-4.0,-7.3,16.9
2017-01-24,11:13:44,-4.0,-6.7,16.9
2017-01-24,11:13:45,-4.0,-6.7,16.9
2017-01-24,11:13:46,-4.0,-6.7,16.8
2017-01-24,11:13:47,-4.2,-6.7,16.9
2017-01-24,11:13:48,-4.0,-6.7,16.8
2017-01-24,11:13:49,-4.0,-6.7,16.9
2017-01-24,11:13:50,-4.0,-7.3,16.9
2017-01-24,11:13:51,-4.0,-6.7,17.0
2017-01-24,11:13:52,-4.0,-7.3,17.0
2017-01-24,11:13:53,-4.0,-6.7,17.0
2017-01-24,11:13:54,-4.2,-6.7,17.0
2017-01-24,11:13:55,-4.0,-7.3,17.1
2017-01-24,11:13:56,-4.0,-7.3,17.0
2017-01-24,11:13:57,-4.0,-6.7,17.0
2017-01-24,11:13:58,-4.2,-6.7,17.0
2017-01-24,11:13:59,-4.0,-7.3,17.1
2017-01-24,11:14:00,-4.2,-6.7,17.0
2017-01-24,11:14:01,-4.2,-7.3,17.1
2017-01-24,11:14:02,-4.0,-6.7,17.1
2017-01-24,11:14:03,-4.0,-6.7,17.2
2017-01-24,11:14:04,-4.2,-6.7,17.1
2017-01-24,11:14:05,-4.0,-6.7,17.2
2017-01-24,11:14:06,-4.0,-7.3,17.2
2017-01-24,11:14:07,-4.2,-6.7,17.2
2017-01-24,11:14:08,-4.2,-6.7,17.1
2017-01-24,11:14:09,-4.0,-7.3,17.2
2017-01-24,11:14:10,-4.2,-6.7,17.2
2017-01-24,11:14:11,-4.2,-7.3,17.3
2017-01-24,11:14:12,-4.0,-6.7,17.2
2017-01-24,11:14:13,-4.2,-6.7,17.2
2017-01-24,11:14:14,-4.2,-7.3,17.1
2017-01-24,11:14:15,-4.0,-6.7,17.2
2017-01-24,11:14:16,-4.2,-6.7,17.2
2017-01-24,11:14:17,-4.0,-7.3,17.2
2017-01-24,11:14:18,-4.0,-6.7,17.2
2017-01-24,11:14:19,-4.0,-7.3,17.2
2017-01-24,11:14:20,-4.2,-7.3,17.2
2017-01-24,11:14:21,-4.0,-7.3,17.2
2017-01-24,11:14:22,-4.2,-7.3,17.2
2017-01-24,11:14:23,-4.2,-6.7,17.3
2017-01-24,11:14:24,-4.2,-7.3,17.2
2017-01-24,11:14:25,-4.2,-7.3,17.3
2017-01-24,11:14:26,-4.2,-6.7,17.2
2017-01-24,11:14:27,-4.2,-7.3,17.3
2017-01-24,11:14:28,-4.0,-7.3,17.2
2017-01-24,11:14:29,-4.0,-7.3,17.2
2017-01-24,11:14:30,-4.0,-6.7,17.2
2017-01-24,11:14:31,-4.2,-7.3,17.2
2017-01-24,11:14:32,-4.2,-6.7,17.1
2017-01-24,11:14:33,-4.2,-7.3,17.1
2017-01-24,11:14:34,-4.2,-6.7,17.0
2017-01-24,11:14:35,-4.2,-6.7,17.0
2017-01-24,11:14:36,-4.2,-6.7,16.9
2017-01-24,11:14:37,-4.2,-6.7,17.0
2017-01-24,11:14:38,-4.2,-6.7,16.9
2017-01-24,11:14:39,-4.0,-6.7,16.9
2017-01-24,11:14:40,-4.0,-6.7,16.9
2017-01-24,11:14:41,-4.2,-7.3,16.9
2017-01-24,11:14:42,-4.2,-6.7,16.9
2017-01-24,11:14:43,-4.2,-6.7,16.9
2017-01-24,11:14:44,-4.0,-6.7,16.8
2017-01-24,11:14:45,-4.0,-7.3,16.9
2017-01-24,11:14:46,-4.2,-7.3,16.8
2017-01-24,11:14:47,-4.0,-7.3,16.9
2017-01-24,11:14:48,-4.2,-7.3,16.9
2017-01-24,11:14:49,-4.0,-7.3,17.0
2017-01-24,11:14:50,-4.2,-6.7,17.0
2017-01-24,11:14:51,-4.2,-7.3,17.1
2017-01-24,11:14:52,-4.0,-7.3,17.1
2017-01-24,11:14:53,-4.2,-6.7,17.1
2017-01-24,11:14:54,-4.0,-7.3,17.0
2017-01-24,11:14:55,-4.2,-6.7,17.1
2017-01-24,11:14:56,-4.2,-6.7,17.0
2017-01-24,11:14:57,-4.2,-7.3,17.1
2017-01-24,11:14:58,-4.2,-6.7,17.1
