Date,Time,Temperature,Dewpoint,Visibility
2017-01-24,11:12:32,-1.4,-3.5,8.5
2017-01-24,11:12:33,-1.4,-2.9,8.5
2017-01-24,11:12:34,-1.4,-2.9,8.4
2017-01-24,11:12:35,-1.2,-2.9,8.5
2017-01-24,11:12:36,-1.2,-2.9,8.4
2017-01-24,11:12:37,-1.4,-3.5,8.4
2017-01-24,11:12:38,-1.2,-3.5,8.3
2017-01-24,11:12:39,-1.4,-2.9,8.3
2017-01-24,11:12:40,-1.4,-2.9,8.2
2017-01-24,11:12:41,-1.2,-2.9,8.3
2017-01-24,11:12:42,-1.2,-3.5,8.3
2017-01-24,11:12:43,-1.4,-3.5,8.3
2017-01-24,11:12:44,-1.2,-3.5,8.3
2017-01-24,11:12:45,-1.4,-2.9,8.3
2017-01-24,11:12:46,-1.2,-2.9,8.3
2017-01-24,11:12:47,-1.2,-3.5,8.4
2017-01-24,11:12:48,-1.4,-2.9,8.3
2017-01-24,11:12:49,-1.4,-2.9,8.3
2017-01-24,11:12:50,-1.2,-2.9,8.2
2017-01-24,11:12:51,-1.4,-2.9,8.2
2017-01-24,11:12:52,-1.2,-3.5,8.1
2017-01-24,11:12:53,-1.2,-3.5,8.0
2017-01-24,11:12:54,-1.4,-2.9,8.1
2017-01-24,11:12:55,-1.2,-2.9,8.0
2017-01-24,11:12:56,-1.4,-3.5,8.0
2017-01-24,11:12:57,-1.2,-2.9,8.0
2017-01-24,11:12:58,-1.4,-3.5,8.0
2017-01-24,11:12:59,-1.2,-2.9,8.0
2017-01-24,11:13:00,-1.4,-2.9,8.0
2017-01-24,11:13:01,-1.4,-2.9,7.9
2017-01-24,11:13:02,-1.4,-2.9,8.0
2017-01-24,11:13:03,-1.2,-2.9,8.0
2017-01-24,11:13:04,-1.2,-3.5,8.0
2017-01-24,11:13:05,-1.2,-3.5,8.0
2017-01-24,11:13:06,-1.2,-3.5,8.0
2017-01-24,11:13:07,-1.2,-2.9,7.9
2017-01-24,11:13:08,-1.2,-3.5,7.9
2017-01-24,11:13:09,-1.4,-3.5,7.8
2017-01-24,11:13:10,-1.4,-2.9,7.8
2017-01-24,11:13:11,-1.4,-2.9,7.7
2017-01-24,11:13:12,-1.2,-2.9,7.7
