wkt_geom;field_1;field_2;field_3;field_4;field_5;field_6;id;Set
Point (13.56700000000000017 45.51700000000000301);131050;PORTOROZ;SLOVENIA;45.517;13.567;95;1;Schiereiland
Point (14.58300000000000018 45.21699999999999875);131160;RIJEKA/OMISALJ;CROATIA;45.217;14.583;85;1;Schiereiland
Point (16.06700000000000017 45.73299999999999699);131310;ZAGREB/PLESO;CROATIA;45.733;16.067;106;1;Schiereiland
Point (21.25 42.35000000000000142);131825;CAMP BONDSTEEL AHP;SERBIA AND MONTENEGRO, STATE UNION OF;42.35;21.25;595;1;Schiereiland
Point (14.90000000000000036 44.98299999999999699);132080;DATSAV3 VIRT STATION (YUGOSLAVIA (FORMER TERRITORY));YUGOSLAVIA (FORMER TERRITORY);44.983;14.9;0;1;Schiereiland
Point (13.91699999999999982 44.89999999999999858);132090;PULA;CROATIA;44.9;13.917;67;1;Schiereiland
Point (15.36700000000000088 44.54999999999999716);132230;GOSPIC;YUGOSLAVIA (FORMER TERRITORY);44.55;15.367;564;1;Schiereiland
Point (15.34999999999999964 44.08299999999999841);132240;ZADAR/ZEMUNIK;CROATIA;44.083;15.35;82;1;Schiereiland
Point (15.88299999999999912 44.81700000000000017);132280;BIHAC;BOSNIA AND HERZEGOVINA;44.817;15.883;250;1;Schiereiland
Point (17.21699999999999875 44.78300000000000125);132420;BANJA LUKA;BOSNIA AND HERZEGOVINA;44.783;17.217;156;1;Schiereiland
Point (18.69999999999999929 44.54999999999999716);132570;TUZLA;BOSNIA AND HERZEGOVINA;44.55;18.7;306;1;Schiereiland
Point (14.90000000000000036 44.98299999999999699);132610;DATSAV3 VIRT STATION (YUGOSLAVIA (FORMER TERRITORY));YUGOSLAVIA (FORMER TERRITORY);44.983;14.9;0;1;Schiereiland
Point (19.91700000000000159 44.31700000000000017);132690;VALJEVO;SERBIA AND MONTENEGRO, STATE UNION OF;44.317;19.917;177;1;Schiereiland
Point (20.46699999999999875 44.79999999999999716);132740;BEOGRAD;SERBIA AND MONTENEGRO, STATE UNION OF;44.8;20.467;132;1;Schiereiland
Point (20.94999999999999929 44.36699999999999733);132790;SMEDEREVSKA PALANKA;SERBIA AND MONTENEGRO, STATE UNION OF;44.367;20.95;122;1;Schiereiland
Point (21.51699999999999946 44.75);132850;VELIKO GRADISTE;SERBIA AND MONTENEGRO, STATE UNION OF;44.75;21.517;84;1;Schiereiland
Point (21.94999999999999929 44.11699999999999733);132890;CRNI VRH;SERBIA AND MONTENEGRO, STATE UNION OF;44.117;21.95;1039;1;Schiereiland
Point (22.55000000000000071 44.23299999999999699);132950;NEGOTIN;SERBIA AND MONTENEGRO, STATE UNION OF;44.233;22.55;44;1;Schiereiland
Point (16.30000000000000071 43.53300000000000125);133330;SPLIT/KASTEL STAFIL;CROATIA;43.533;16.3;24;1;Schiereiland
